#     aLat (AA)   energy (eV/atom)
       4.100000     -7871.873910
       4.200000     -7871.670100
       4.300000     -7871.468171
       4.400000     -7871.267916
       4.500000     -7871.074492
       4.600000     -7870.891507
       4.700000     -7870.718170
       4.800000     -7870.550735
       4.900000     -7870.385646
       5.000000     -7870.223754
       5.100000     -7870.069581
       5.200000     -7869.930244
       5.300000     -7869.807366
       5.400000     -7869.691964
       5.500000     -7869.575108
       5.600000     -7869.455487
       5.700000     -7869.338540
