# V [A^3]        E_coh [eV]    
     16.581375      -5.010103
     17.576000      -5.134680
     18.609625      -5.205394
     19.683000      -5.230795
     20.796875      -5.219080
     21.952000      -5.176847
     23.149125      -5.110381
     24.389000      -5.023762
     25.672375      -4.918937
     27.000000      -4.799395
     28.372625      -4.670483
     29.791000      -4.536203
     31.255875      -4.398309
     32.768000      -4.257618
     34.328125      -4.115140
     35.937000      -3.971645
     37.595375      -3.827873
