#     aLat (AA)   energy (eV/atom)
       5.100000     -7873.891553
       5.200000     -7874.016130
       5.300000     -7874.086844
       5.400000     -7874.112245
       5.500000     -7874.100530
       5.600000     -7874.058297
       5.700000     -7873.991831
       5.800000     -7873.905212
       5.900000     -7873.800387
       6.000000     -7873.680845
       6.100000     -7873.551933
       6.200000     -7873.417653
       6.300000     -7873.279759
       6.400000     -7873.139068
       6.500000     -7872.996590
       6.600000     -7872.853095
       6.700000     -7872.709323
