# V [A^3]        E_coh [eV]    
     24.334000      -3.942052
     25.955750      -3.778359
     27.648000      -3.614644
     29.412250      -3.449341
     31.250000      -3.283181
     33.162750      -3.118771
     35.152000      -2.956316
     37.219250      -2.796457
     39.366000      -2.637648
     41.593750      -2.480106
     43.904000      -2.322082
     46.298250      -2.167467
     48.778000      -2.023065
     51.344750      -1.890700
     54.000000      -1.761407
     56.745250      -1.625641
     59.582000      -1.484070
     62.511750      -1.345385
