#     aLat (AA)   energy (eV/atom)
       4.600000     -7872.823502
       4.700000     -7872.659809
       4.800000     -7872.496094
       4.900000     -7872.330791
       5.000000     -7872.164631
       5.100000     -7872.000221
       5.200000     -7871.837766
       5.300000     -7871.677907
       5.400000     -7871.519098
       5.500000     -7871.361556
       5.600000     -7871.203532
       5.700000     -7871.048917
       5.800000     -7870.904515
       5.900000     -7870.772150
       6.000000     -7870.642857
       6.100000     -7870.507091
       6.200000     -7870.365520
       6.300000     -7870.226835
