# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -5.421482 eV
#    Energy (eV)      DOS 
        -12.57851847          0.00824202
        -12.48806621          0.03291584
        -12.39761395          0.07786471
        -12.30716169          0.12684243
        -12.21670943          0.16699483
        -12.12625717          0.19902422
        -12.03580491          0.22650472
        -11.94535265          0.25132642
        -11.85490038          0.27437879
        -11.76444812          0.29617235
        -11.67399586          0.31704765
        -11.58354360          0.33725484
        -11.49309134          0.35699227
        -11.40263908          0.37642845
        -11.31218682          0.39571630
        -11.22173455          0.41500388
        -11.13128229          0.43444390
        -11.04083003          0.45420372
        -10.95037777          0.47447778
        -10.85992551          0.49550495
        -10.76947325          0.51759567
        -10.67902099          0.54117865
        -10.58856873          0.56689144
        -10.49811646          0.59578958
        -10.40766420          0.62996242
        -10.31721194          0.67406369
        -10.22675968          0.73406700
        -10.13630742          0.80101683
        -10.04585516          0.84189758
         -9.95540290          0.84073929
         -9.86495063          0.81625298
         -9.77449837          0.78625548
         -9.68404611          0.75573632
         -9.59359385          0.72519295
         -9.50314159          0.69455659
         -9.41268933          0.66372376
         -9.32223707          0.63257794
         -9.23178481          0.60098132
         -9.14133254          0.56876532
         -9.05088028          0.53571624
         -8.96042802          0.50155278
         -8.86997576          0.46588835
         -8.77952350          0.42816034
         -8.68907124          0.38747674
         -8.59861898          0.34221605
         -8.50816672          0.28918636
         -8.41771445          0.22484412
         -8.32726219          0.15674936
         -8.23680993          0.11355773
         -8.14635767          0.11862881
         -8.05590541          0.16230022
         -7.96545315          0.22030637
         -7.87500089          0.27887977
         -7.78454862          0.33621516
         -7.69409636          0.39748911
         -7.60364410          0.48428613
         -7.51319184          0.65248590
         -7.42273958          0.94647206
         -7.33228732          1.25412088
         -7.24183506          1.32894494
         -7.15138280          1.15642118
         -7.06093053          0.95624840
         -6.97047827          0.82473701
         -6.88002601          0.73927529
         -6.78957375          0.67602671
         -6.69912149          0.62520178
         -6.60866923          0.58247526
         -6.51821697          0.54551241
         -6.42776471          0.51287823
         -6.33731244          0.48363093
         -6.24686018          0.45711721
         -6.15640792          0.43286552
         -6.06595566          0.41051339
         -5.97550340          0.38980039
         -5.88505114          0.37050478
         -5.79459888          0.35244847
         -5.70414661          0.33552141
         -5.61369435          0.31955010
         -5.52324209          0.30452299
         -5.43278983          0.29024982
         -5.34233757          0.27678747
         -5.25188531          0.26405729
         -5.16143305          0.25404048
         -5.07098079          0.26027878
         -4.98052852          0.32379178
         -4.89007626          0.47921215
         -4.79962400          0.69731300
         -4.70917174          0.91917053
         -4.61871948          1.07941330
         -4.52826722          1.12715025
         -4.43781496          1.09539614
         -4.34736270          1.04822406
         -4.25691043          1.01782320
         -4.16645817          1.00690208
         -4.07600591          1.00992053
         -3.98555365          1.02133739
         -3.89510139          1.03941711
         -3.80464913          1.06377270
         -3.71419687          1.09488461
         -3.62374460          1.13600664
         -3.53329234          1.19211204
         -3.44284008          1.27393858
         -3.35238782          1.37298051
         -3.26193556          1.44793261
         -3.17148330          1.46806267
         -3.08103104          1.45328852
         -2.99057878          1.42932895
         -2.90012651          1.40421434
         -2.80967425          1.37954172
         -2.71922199          1.35520384
         -2.62876973          1.33078870
         -2.53831747          1.30734499
         -2.44786521          1.28332754
         -2.35741295          1.26040244
         -2.26696069          1.23724152
         -2.17650842          1.21447148
         -2.08605616          1.19235701
         -1.99560390          1.16988735
         -1.90515164          1.14784277
         -1.81469938          1.11951712
         -1.72424712          1.06542211
         -1.63379486          0.96206011
         -1.54334259          0.82725326
         -1.45289033          0.70605916
         -1.36243807          0.61163871
         -1.27198581          0.53603764
         -1.18153355          0.47119141
         -1.09108129          0.41339315
         -1.00062903          0.36067761
         -0.91017677          0.31127728
         -0.81972450          0.26399880
         -0.72927224          0.21673824
         -0.63881998          0.16617422
         -0.54836772          0.10904488
         -0.45791546          0.05290675
         -0.36746320          0.01616104
         -0.27701094          0.00276319
         -0.18655868          0.00066559
         -0.09610641          0.00413546
         -0.00565415          0.02126353
          0.08479811          0.06468115
          0.17525037          0.13210229
          0.26570263          0.20610147
          0.35615489          0.27259109
          0.44660715          0.32913425
          0.53705942          0.37934662
          0.62751168          0.42607683
          0.71796394          0.47066439
          0.80841620          0.51519737
          0.89886846          0.56036494
          0.98932072          0.61506755
          1.07977298          0.68331637
          1.17022524          0.75840092
          1.26067751          0.83883069
          1.35112977          0.92053255
          1.44158203          1.00899313
          1.53203429          1.12185854
          1.62248655          1.26180826
          1.71293881          1.40549324
          1.80339107          1.50092813
          1.89384333          1.51708747
          1.98429560          1.47385046
          2.07474786          1.40060324
