# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -18.00000000          0.00824202
        -17.90954774          0.03291584
        -17.81909548          0.07786471
        -17.72864322          0.12684243
        -17.63819095          0.16699483
        -17.54773869          0.19902422
        -17.45728643          0.22650472
        -17.36683417          0.25132642
        -17.27638191          0.27437879
        -17.18592965          0.29617235
        -17.09547739          0.31704765
        -17.00502513          0.33725484
        -16.91457286          0.35699227
        -16.82412060          0.37642845
        -16.73366834          0.39571630
        -16.64321608          0.41500388
        -16.55276382          0.43444390
        -16.46231156          0.45420372
        -16.37185930          0.47447778
        -16.28140704          0.49550495
        -16.19095477          0.51759567
        -16.10050251          0.54117865
        -16.01005025          0.56689144
        -15.91959799          0.59578958
        -15.82914573          0.62996242
        -15.73869347          0.67406369
        -15.64824121          0.73406700
        -15.55778894          0.80101683
        -15.46733668          0.84189758
        -15.37688442          0.84073929
        -15.28643216          0.81625298
        -15.19597990          0.78625548
        -15.10552764          0.75573632
        -15.01507538          0.72519295
        -14.92462312          0.69455659
        -14.83417085          0.66372376
        -14.74371859          0.63257794
        -14.65326633          0.60098132
        -14.56281407          0.56876532
        -14.47236181          0.53571624
        -14.38190955          0.50155278
        -14.29145729          0.46588835
        -14.20100503          0.42816034
        -14.11055276          0.38747674
        -14.02010050          0.34221605
        -13.92964824          0.28918636
        -13.83919598          0.22484412
        -13.74874372          0.15674936
        -13.65829146          0.11355773
        -13.56783920          0.11862881
        -13.47738693          0.16230022
        -13.38693467          0.22030637
        -13.29648241          0.27887977
        -13.20603015          0.33621516
        -13.11557789          0.39748911
        -13.02512563          0.48428613
        -12.93467337          0.65248590
        -12.84422111          0.94647206
        -12.75376884          1.25412088
        -12.66331658          1.32894494
        -12.57286432          1.15642118
        -12.48241206          0.95624840
        -12.39195980          0.82473701
        -12.30150754          0.73927529
        -12.21105528          0.67602671
        -12.12060302          0.62520178
        -12.03015075          0.58247526
        -11.93969849          0.54551241
        -11.84924623          0.51287823
        -11.75879397          0.48363093
        -11.66834171          0.45711721
        -11.57788945          0.43286552
        -11.48743719          0.41051339
        -11.39698492          0.38980039
        -11.30653266          0.37050478
        -11.21608040          0.35244847
        -11.12562814          0.33552141
        -11.03517588          0.31955010
        -10.94472362          0.30452299
        -10.85427136          0.29024982
        -10.76381910          0.27678747
        -10.67336683          0.26405729
        -10.58291457          0.25404048
        -10.49246231          0.26027878
        -10.40201005          0.32379178
        -10.31155779          0.47921215
        -10.22110553          0.69731300
        -10.13065327          0.91917053
        -10.04020101          1.07941330
         -9.94974874          1.12715025
         -9.85929648          1.09539614
         -9.76884422          1.04822406
         -9.67839196          1.01782320
         -9.58793970          1.00690208
         -9.49748744          1.00992053
         -9.40703518          1.02133739
         -9.31658291          1.03941711
         -9.22613065          1.06377270
         -9.13567839          1.09488461
         -9.04522613          1.13600664
         -8.95477387          1.19211204
         -8.86432161          1.27393858
         -8.77386935          1.37298051
         -8.68341709          1.44793261
         -8.59296482          1.46806267
         -8.50251256          1.45328852
         -8.41206030          1.42932895
         -8.32160804          1.40421434
         -8.23115578          1.37954172
         -8.14070352          1.35520384
         -8.05025126          1.33078870
         -7.95979899          1.30734499
         -7.86934673          1.28332754
         -7.77889447          1.26040244
         -7.68844221          1.23724152
         -7.59798995          1.21447148
         -7.50753769          1.19235701
         -7.41708543          1.16988735
         -7.32663317          1.14784277
         -7.23618090          1.11951712
         -7.14572864          1.06542211
         -7.05527638          0.96206011
         -6.96482412          0.82725326
         -6.87437186          0.70605916
         -6.78391960          0.61163871
         -6.69346734          0.53603764
         -6.60301508          0.47119141
         -6.51256281          0.41339315
         -6.42211055          0.36067761
         -6.33165829          0.31127728
         -6.24120603          0.26399880
         -6.15075377          0.21673824
         -6.06030151          0.16617422
         -5.96984925          0.10904488
         -5.87939698          0.05290675
         -5.78894472          0.01616104
         -5.69849246          0.00276319
         -5.60804020          0.00066559
         -5.51758794          0.00413546
         -5.42713568          0.02126353
         -5.33668342          0.06468115
         -5.24623116          0.13210229
         -5.15577889          0.20610147
         -5.06532663          0.27259109
         -4.97487437          0.32913425
         -4.88442211          0.37934662
         -4.79396985          0.42607683
         -4.70351759          0.47066439
         -4.61306533          0.51519737
         -4.52261307          0.56036494
         -4.43216080          0.61506755
         -4.34170854          0.68331637
         -4.25125628          0.75840092
         -4.16080402          0.83883069
         -4.07035176          0.92053255
         -3.97989950          1.00899313
         -3.88944724          1.12185854
         -3.79899497          1.26180826
         -3.70854271          1.40549324
         -3.61809045          1.50092813
         -3.52763819          1.51708747
         -3.43718593          1.47385046
         -3.34673367          1.40060324
         -3.25628141          1.30406796
         -3.16582915          1.19796418
         -3.07537688          1.11851523
         -2.98492462          1.07304238
         -2.89447236          1.04228342
         -2.80402010          1.06141292
         -2.71356784          1.26095467
         -2.62311558          1.66307884
         -2.53266332          1.97675684
         -2.44221106          1.95940663
         -2.35175879          1.76430947
         -2.26130653          1.61799393
         -2.17085427          1.55285890
         -2.08040201          1.52220480
         -1.98994975          1.50786557
         -1.89949749          1.46474246
         -1.80904523          1.36756173
         -1.71859296          1.25390520
         -1.62814070          1.17248089
         -1.53768844          1.12891235
         -1.44723618          1.11010966
         -1.35678392          1.13218760
         -1.26633166          1.18907250
         -1.17587940          1.23288484
         -1.08542714          1.23805572
         -0.99497487          1.21833299
         -0.90452261          1.19682756
         -0.81407035          1.17332578
         -0.72361809          1.14656875
         -0.63316583          1.14220646
         -0.54271357          1.14149401
         -0.45226131          1.11270906
         -0.36180905          1.09749242
         -0.27135678          1.10267002
         -0.18090452          1.08726883
         -0.09045226          1.06377957
          0.00000000          1.05672332
